Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime
Mon 07:44:28 AM,52.4555,3.9026,↘ 120°,294,338,"9,625",-949,FlightAware ADS-B (UTC / EHSB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:44:58 AM,52.4351,3.9605,↘ 120°,288,331,"9,125","-1,000",FlightAware ADS-B (EBGB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:45:28 AM,52.4148,4.0193,↘ 119°,285,328,"8,625",-950,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:45:58 AM,52.3965,4.0732,↘ 119°,279,321,"8,175",-900,FlightAware ADS-B (EBGB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:46:28 AM,52.3777,4.1281,↘ 119°,281,323,"7,725",-925,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:46:58 AM,52.3590,4.1828,↘ 119°,279,321,"7,250",-950,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:47:28 AM,52.3395,4.2390,↘ 122°,277,319,"6,775",-925,FlightAware ADS-B (EHVB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:47:58 AM,52.3162,4.2876,↘ 129°,276,318,"6,325","-1,025",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:48:28 AM,52.2912,4.3375,↘ 129°,273,314,"5,750","-1,325",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:48:58 AM,52.2685,4.3831,↘ 129°,271,312,"5,000","-1,625",FlightAware ADS-B (OST / EBOS),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:49:28 AM,52.2444,4.4320,↘ 128°,272,313,"4,125","-1,683",FlightAware ADS-B (EHVB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:49:39 AM,52.2353,4.4507,↘ 128°,273,314,"3,850","-1,500",Surface and Near-Surface,Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:49:44 AM,52.2323,4.4571,↘ 128°,272,313,"3,725","-1,571",FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:50:00 AM,52.2199,4.4829,↘ 128°,272,313,"3,300","-1,594",FlightAware ADS-B (EHVB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:50:16 AM,52.2073,4.5091,↘ 128°,271,312,"2,875",-885,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:50:39 AM,52.1905,4.5448,↘ 128°,251,289,"2,725",-279,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:50:59 AM,52.1767,4.5741,↘ 125°,235,270,"2,675",-292,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:51:15 AM,52.1714,4.6001,→ 97°,227,261,"2,550",-607,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:51:41 AM,52.1707,4.6419,→ 91°,217,250,"2,250",-670,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:52:11 AM,52.1698,4.6894,→ 92°,200,230,"1,925",-368,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:52:34 AM,52.1691,4.7190,→ 90°,170,196,"1,925",37,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:52:52 AM,52.1750,4.7415,↗ 40°,161,185,"1,950",,FlightAware ADS-B (GLZ / EHGR),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:53:09 AM,52.1838,4.7518,↗ 34°,159,183,"1,925",-488,FlightAware ADS-B (EHHV),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:53:32 AM,52.1985,4.7669,↗ 24°,140,161,"1,625",-695,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:53:50 AM,52.2085,4.7699,↑ 2°,124,143,"1,450",-557,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:54:07 AM,52.2183,4.7700,↑ 2°,120,138,"1,300",-489,FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:54:36 AM,52.2342,4.7719,↑ 4°,120,138,"1,075",-455,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:54:40 AM,52.2368,4.7722,↑ 4°,120,138,"1,050",-656,Surface and Near-Surface,Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:54:52 AM,52.2437,4.7729,↑ 4°,121,139,900,-696,FlightAware ADS-B (LEY / EHLE),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:55:08 AM,52.2517,4.7737,↑ 3°,121,139,725,-656,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:55:24 AM,52.2608,4.7746,↑ 3°,120,138,550,-609,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:55:40 AM,52.2696,4.7754,↑ 3°,120,138,400,-609,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:55:56 AM,52.2781,4.7761,↑ 1°,121,139,225,-656,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:56:12 AM,52.2870,4.7770,↑ 4°,118,136,50,-574,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:56:30 AM,52.2968,4.7779,↑ 3°,111,128,,-500,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:05:13 AM,50.0393,8.5625,← 250°,156,180,450,,FlightAware ADS-B,Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:05:29 AM,50.0358,8.5475,← 249°,150,173,"1,250","2,484",FlightAware ADS-B,Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:05:45 AM,50.0310,8.5283,← 249°,177,204,"1,775","1,500",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:06:01 AM,50.0266,8.5098,← 250°,204,235,"2,050","2,109",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:06:17 AM,50.0190,8.4895,↙ 226°,208,239,"2,900","3,609",FlightAware ADS-B (EDFZ),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:06:33 AM,50.0057,8.4786,↓ 194°,210,242,"3,975","3,750",FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:06:49 AM,49.9903,8.4748,↓ 187°,218,251,"4,900","2,672",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:07:05 AM,49.9730,8.4723,↓ 186°,226,260,"5,400","3,000",FlightAware ADS-B (EDEL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:07:23 AM,49.9544,8.4672,↓ 194°,226,260,"6,600","3,471",FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:07:40 AM,49.9374,8.4597,↓ 197°,245,282,"7,425","2,871",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:07:58 AM,49.9190,8.4423,↙ 227°,260,299,"8,275","3,208",FlightAware ADS-B (EDFV),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:08:16 AM,49.9105,8.4126,← 262°,263,303,"9,350","3,706",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:08:32 AM,49.9138,8.3823,← 295°,266,306,"10,375","3,682",FlightAware ADS-B (EDFC),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:08:49 AM,49.9276,8.3568,↖ 324°,269,310,"11,375","2,743",FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:09:07 AM,49.9468,8.3415,↖ 336°,289,333,"11,975","1,551",FlightAware ADS-B (EDGH),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:09:48 AM,50.0062,8.3041,↖ 337°,347,399,"12,900","1,831",FlightAware ADS-B (EDGP),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:10:06 AM,50.0318,8.2899,↑ 347°,352,405,"13,775","3,000",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:10:27 AM,50.0664,8.2884,↑ 9°,357,411,"14,850","2,763",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:10:44 AM,50.0937,8.2956,↑ 4°,364,419,"15,525","2,744",FlightAware ADS-B (RMS / ETAR),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:11:08 AM,50.1321,8.2821,↑ 341°,370,426,"16,725","2,861",FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:11:38 AM,50.1816,8.2546,↑ 340°,376,433,"18,100","2,575",FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:12:08 AM,50.2300,8.2274,↑ 340°,384,442,"19,300","2,525",FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:12:38 AM,50.2824,8.1983,↑ 340°,391,450,"20,625","2,550",FlightAware ADS-B (EDFC),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:13:08 AM,50.3339,8.1697,↑ 340°,395,455,"21,850","2,500",FlightAware ADS-B (EDFP),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:13:29 AM,50.3698,8.1493,↑ 341°,397,457,"22,750","2,302",FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:13:51 AM,50.4096,8.1262,↑ 340°,403,464,"23,500","1,933",FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:14:21 AM,50.4604,8.0967,↑ 340°,409,471,"24,425","1,896",FlightAware ADS-B (EDGQ),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:14:44 AM,50.5041,8.0714,↑ 341°,411,473,"25,175","1,875",FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:15:05 AM,50.5413,8.0499,↑ 341°,418,481,"25,800","1,720",FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:15:25 AM,50.5756,8.0364,↑ 349°,419,482,"26,350","1,662",FlightAware ADS-B (CGN / EDDK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:15:42 AM,50.6107,8.0274,↑ 348°,423,487,"26,825","1,683",FlightAware ADS-B (EDFJ),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:16:06 AM,50.6546,8.0081,↑ 341°,426,490,"27,500","1,650",FlightAware ADS-B (DTM / EDLW),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:16:22 AM,50.6838,7.9906,↖ 338°,429,494,"27,925",508,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:17:05 AM,50.7638,7.9391,↖ 338°,430,495,"28,000",62,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:17:35 AM,50.8184,7.9041,↑ 339°,430,495,"28,000",,FlightAware ADS-B (EHHO),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:18:05 AM,50.8742,7.8682,↖ 338°,429,494,"28,000",,FlightAware ADS-B (ENS / EHTW),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:18:35 AM,50.9275,7.8338,↖ 338°,429,494,"28,000",,FlightAware ADS-B (EDFZ),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:18:56 AM,50.9670,7.8082,↖ 338°,430,495,"28,000",,FlightAware ADS-B (LUX / ELLX),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:19:26 AM,51.0213,7.7731,↖ 338°,431,496,"28,000",,FlightAware ADS-B (ETHE),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:19:45 AM,51.0586,7.7489,↖ 338°,431,496,"28,000",31,FlightAware ADS-B (MGL / EDLN),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:20:15 AM,51.1130,7.7135,↖ 338°,433,498,"28,025",,FlightAware ADS-B (EDHD),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:20:45 AM,51.1686,7.6773,↖ 338°,427,491,"28,000",-25,FlightAware ADS-B (UDE / EHVK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:21:15 AM,51.2217,7.6425,↖ 338°,425,489,"28,000",,FlightAware ADS-B (EHHV),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:21:57 AM,51.2995,7.5916,↖ 338°,426,490,"28,000",,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:22:27 AM,51.3547,7.5552,↖ 338°,426,490,"28,000",,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:22:45 AM,51.3860,7.5346,↑ 339°,426,490,"28,000",,FlightAware ADS-B (MGL / EDLN),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:23:10 AM,51.4331,7.5035,↖ 338°,426,490,"28,000",,FlightAware ADS-B (DTM / EDLW),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:23:40 AM,51.4858,7.4686,↖ 338°,428,493,"28,000",,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:24:10 AM,51.5422,7.4313,↖ 338°,428,493,"28,000",,FlightAware ADS-B (CGN / EDDK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:24:40 AM,51.5962,7.3952,↖ 337°,429,494,"28,000",,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:25:10 AM,51.6509,7.3588,↖ 338°,428,493,"28,000",,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:25:40 AM,51.7062,7.3218,↖ 337°,427,491,"28,000",,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:26:10 AM,51.7611,7.2850,↖ 337°,427,491,"28,000",,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:26:40 AM,51.8148,7.2488,↖ 337°,424,488,"28,000",,FlightAware ADS-B (ETNN),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:27:10 AM,51.8696,7.2119,↖ 337°,423,487,"28,000",-150,FlightAware ADS-B (EDLM),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:27:40 AM,51.9228,7.1761,↖ 337°,423,487,"27,850",-500,FlightAware ADS-B (EHTE),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:28:10 AM,51.9776,7.1389,↖ 337°,423,487,"27,500",-850,FlightAware ADS-B (EDFV),Arrivals,KLM1818,2025-03-24 13:04:30
Mon 07:28:40 AM,52.0309,7.1027,↖ 337°,418,481,"27,000","-1,025",FlightAware ADS-B (EDLI),Arrivals,KLM1818,2025-03-24 13:04:30
